Project_ID,Project Name,Contractor,Region,Budget (INR),Actual Cost,Invoice Amt,Payment Recvd,Outstanding,Start Date,End Date,Status
P001,Highway Expn L1,ABC Infra,North,5000000,5200000,3000000,2500000,,01-01-2024,30-12-2024,On going
P002,Bridge Work-A,XYZ Constructions,East,7000000,6800000,4000000,4000000,0,15/02/2024,15/11/2024,Completed
P003,Metro Phase 2,LMN Pvt Ltd,West,12000000,12500000,8000000,6000000,2000000,2024-03-01,2025-06-30,Ongoing
P004,Road Repair Z5,ABC Infra,North,3000000,2800000,2000000,,1000000,05-04-2024,30-09-2024,Delayed
P005,Airport Extn,XYZ Constructions,South,15000000,14000000,9000000,8500000,500000,2024/05/01,2025/01/30,On Track
P006,Smart City Work,LMN Pvt Ltd,West,8000000,9000000,6000000,5000000,1000000,12-06-2024,12-12-2024,Over Budget
P007,Drainage Sys B2,ABC Infra,East,2500000,2600000,1500000,1400000,,2024-07-01,2024-12-01,Ongoing
P008,Flyover Build,XYZ Constructions,North,10000000,9500000,7000000,7000000,0,01/08/2024,30/04/2025,Completed
P009,Industrial Park,LMN Pvt Ltd,South,20000000,21000000,15000000,10000000,5000000,2024-09-01,2026-01-01,Delayed
P010,Water Pipeline,ABC Infra,West,4000000,3900000,2500000,2000000,500000,15-10-2024,15-05-2025,Ongoing
P011,Highway Expn L2,BuildCorp,North,6000000,6500000,3500000,3000000,,02-01-2024,28-11-2024,Ongoing
P012,Bridge Work-B,Skyline Ltd,East,7500000,7200000,4200000,4100000,100000,18/02/2024,20/11/2024,Completed
P013,Metro Phase 3,LMN Pvt Ltd,West,13000000,13500000,9000000,7000000,2000000,2024-03-15,2025-07-30,On going
P014,Road Repair Z6,ABC Infra,South,3200000,3000000,2100000,,1100000,10-04-2024,05-10-2024,Delayed
P015,Airport Extn 2,XYZ Constructions,South,16000000,15000000,9500000,9000000,500000,2024/06/01,2025/02/15,On Track
P016,Smart City Phase 2,BuildCorp,West,9000000,10000000,7000000,6000000,1000000,15-06-2024,15-12-2024,Over Budget
P017,Drainage Sys B3,ABC Infra,East,2700000,2800000,1600000,1500000,,2024-07-10,2024-12-15,Ongoing
P018,Flyover Build 2,Skyline Ltd,North,11000000,10500000,7500000,7400000,100000,05/08/2024,10/05/2025,Completed
P019,Industrial Park 2,LMN Pvt Ltd,South,21000000,22000000,16000000,11000000,5000000,2024-09-15,2026-02-01,Delayed
P020,Water Pipeline 2,ABC Infra,West,4500000,4200000,2600000,2100000,500000,20-10-2024,20-05-2025,Ongoing
P021,Highway Expn L3,BuildCorp,North,5500000,5800000,3300000,2900000,,03-01-2024,25-11-2024,On going
P022,Bridge Work-C,XYZ Constructions,East,7200000,7000000,4100000,3900000,200000,20/02/2024,18/11/2024,Completed
P023,Metro Phase 4,LMN Pvt Ltd,West,14000000,15000000,10000000,8000000,2000000,2024-04-01,2025-08-30,Ongoing
P024,Road Repair Z7,ABC Infra,North,3500000,3300000,2200000,,1100000,12-04-2024,08-10-2024,Delayed
P025,Airport Extn 3,Skyline Ltd,South,17000000,16500000,10000000,9500000,500000,2024/07/01,2025/03/01,On Track
P026,Smart City Phase 3,BuildCorp,West,9500000,10500000,7200000,6200000,1000000,18-06-2024,18-12-2024,Over Budget
P027,Drainage Sys B4,ABC Infra,East,2800000,2900000,1700000,1500000,,2024-07-20,2024-12-20,Ongoing
P028,Flyover Build 3,XYZ Constructions,North,11500000,11000000,7800000,7800000,0,08/08/2024,15/05/2025,Completed
P029,Industrial Park 3,LMN Pvt Ltd,South,22000000,23000000,17000000,12000000,5000000,2024-10-01,2026-03-01,Delayed
P030,Water Pipeline 3,ABC Infra,West,4800000,4600000,2800000,2300000,500000,25-10-2024,25-05-2025,Ongoing
P031,Highway Expn L4,BuildCorp,North,6000000,6200000,3500000,3000000,,05-01-2024,30-11-2024,Ongoing
P032,Bridge Work-D,Skyline Ltd,East,7800000,7600000,4300000,4200000,100000,25/02/2024,25/11/2024,Completed
P033,Metro Phase 5,LMN Pvt Ltd,West,15000000,16000000,11000000,9000000,2000000,2024-04-15,2025-09-30,On going
P034,Road Repair Z8,ABC Infra,South,3600000,3400000,2300000,,1300000,15-04-2024,10-10-2024,Delayed
P035,Airport Extn 4,XYZ Constructions,South,18000000,17000000,10500000,10000000,500000,2024/08/01,2025/04/01,On Track